BindingDB-id,smiles,chemblid,genename,primary_uniprot,secondary_uniprot
50066929,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,CHEMBL388978,PIM1_HUMAN,P11309,"Q38RT9,Q5T7H7,Q96RG3"
50066932,Cn1cc(C2=C(C(=O)NC2=O)c2cn(CCCSC(N)=N)c3ccccc23)c2ccccc12,CHEMBL6291,PIM1_HUMAN,P11309,"Q38RT9,Q5T7H7,Q96RG3"
50066933,CN(C)CC1CCn2c(C1)c(C1=C(C(=O)NC1=O)c1c[nH]c3ccccc13)c1ccccc21,,PIM1_HUMAN,P11309,"Q38RT9,Q5T7H7,Q96RG3"
50066934,Oc1cc(O)c2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O,CHEMBL50,PIM1_HUMAN,P11309,"Q38RT9,Q5T7H7,Q96RG3"
50066935,Cn1cc(C2=C(C(=O)NC2=O)c2cn(CCCN)c3ccccc23)c2ccccc12,,PIM1_HUMAN,P11309,"Q38RT9,Q5T7H7,Q96RG3"
50066936,CC(=O)c1cccc(c1)-c1cnc2ccc(NCC3CC3)nn12,CHEMBL200528,PIM1_HUMAN,P11309,"Q38RT9,Q5T7H7,Q96RG3"
50066937,CN(C)CCCn1cc(C2=C(C(=O)NC2=O)c2c[nH]c3ccccc23)c2ccccc12,CHEMBL7463,PIM1_HUMAN,P11309,"Q38RT9,Q5T7H7,Q96RG3"
50066938,NCC1CCn2c(C1)c(C1=C(C(=O)NC1=O)c1c[nH]c3ccccc13)c1ccccc21,,PIM1_HUMAN,P11309,"Q38RT9,Q5T7H7,Q96RG3"
50066939,O=C1NC(=O)C(=C1c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,CHEMBL266487,PIM1_HUMAN,P11309,"Q38RT9,Q5T7H7,Q96RG3"
50066940,CN(C)CCCn1cc(C2=C(C(=O)NC2=O)c2c[nH]c3ccccc23)c2ccccc12,CHEMBL7463,PIM1_HUMAN,P11309,"Q38RT9,Q5T7H7,Q96RG3"
50066941,CC(=O)c1cccc(c1)-c1cnc2ccc(NCC3CC3)nn12,CHEMBL200528,PIM1_HUMAN,P11309,"Q38RT9,Q5T7H7,Q96RG3"
50066942,Oc1cc(O)c2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O,CHEMBL50,PIM1_HUMAN,P11309,"Q38RT9,Q5T7H7,Q96RG3"
50748302,Cc1ccc(Sc2ccc(Sc3nnc[nH]3)nc2C(=O)Nc2ncns2)cn1,CHEMBL4079100,,,
50748303,COc1ccc(Sc2ccc(Sc3nncn3C)nc2C(=O)Nc2ncc(SCC(O)=O)s2)cc1,,,,
50748304,COc1ccc(Sc2ccc(Sc3ccccn3)nc2C(=O)Nc2ncc(CCC(O)=O)s2)cc1,,,,
50748305,COc1ccc(Sc2ccc(Sc3ccccn3)nc2C(=O)Nc2nc(CC(O)=O)cs2)cc1,,,,
50748306,COc1ccc(Sc2ccc(Sc3ccccn3)nc2C(=O)Nc2nc(CC(O)=O)c(Cl)s2)cc1,,,,
50748307,COc1ccc(Sc2ccc(Sc3ccccn3)nc2C(=O)Nc2ncc(SCC(O)=O)s2)cc1,,,,
50748308,OC(=O)Cc1nc(NC(=O)c2nc(Sc3ccccn3)ccc2Sc2ccc(F)cc2)sc1Cl,,,,
50748309,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O,,OPRM_CAVPO,P97266,
50000001,CCNC(=O)CNC(=O)[C@H]1CCCN1C(=O)[C@H](CCCCNC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNc1n[nH]c(N)n1)NC(=O)[C@H](CCCCNc1n[nH]c(N)n1)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc1cccnc1)NC(=O)[C@H](Cc1ccc(Cl)cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(C)=O,CHEMBL2370814,GNRHR_HUMAN,P30968,"O75793,Q14D13,Q92644"
50000002,CC(C)C[C@H](NC(=O)[C@H](Cc1cccnc1)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc1cccnc1)NC(=O)[C@H](Cc1ccc(Cl)cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](C)C(N)=O,CHEMBL266716,GNRHR_HUMAN,P30968,"O75793,Q14D13,Q92644"
50000003,CC(C)C[C@H](NC(=O)[C@H](CCCCNc1n[nH]c(N)n1)NC(=O)[C@H](CCCCNc1n[nH]c(N)n1)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc1cccnc1)NC(=O)[C@H](Cc1ccc(Cl)cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@@H]1C(=O)NCC(N)=O,CHEMBL2370803,GNRHR_HUMAN,P30968,"O75793,Q14D13,Q92644"
50000004,CC(C)C[C@H](NC(=O)[C@H](CCCCNC(=O)c1cccnc1)NC(=O)[C@H](CCCCNC(=O)c1cccnc1)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc1cccnc1)NC(=O)[C@H](Cc1ccc(Cl)cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](C)C(N)=O,CHEMBL2370809,GNRHR_HUMAN,P30968,"O75793,Q14D13,Q92644"
